17,03,11,10,04,mocha,Hodgepodge,Atlanta,GA
17,03,13,08,40,espresso,work,Atlanta,GA
17,03,13,13,11,drip,work,Atlanta,GA
17,03,13,14,39,drip,work,Atlanta,GA
17,03,13,15,15,drip,work,Atlanta,GA
17,03,14,09,08,drip,work,Atlanta,GA
17,03,14,10,36,drip,work,Atlanta,GA
17,03,15,09,43,pour over,Hodgepodge,Atlanta,GA
17,03,15,13,47,pour over,home,Atlanta,GA
17,03,16,08,14,pour over,home,Atlanta,GA
17,03,17,08,48,espresso,home,Atlanta,GA
17,03,18,18,00,pour over,Queen Bee,McDonough,GA
17,03,19,07,50,espresso,Trinity,Atlanta,GA
17,03,20,14,39,espresso,home,Atlanta,GA
17,03,21,08,45,aeropress,work,Atlanta,GA
17,03,21,13,30,drip,Blue Donkey,Atlanta,GA
17,03,22,08,15,cappuccino,Banjo Coffee,Atlanta,GA
17,03,22,10,05,espresso,work,Atlanta,GA
17,03,23,09,22,drip,work,Atlanta,GA
17,03,23,10,10,drip,work,Atlanta,GA
17,03,23,11,46,drip,work,Atlanta,GA
17,03,23,18,02,pour over,home,Atlanta,GA
17,03,24,09,10,aeropress,work,Atlanta,GA
17,03,26,09,35,drip,Trinity,Jonesboro,GA
17,03,26,17,48,siphon,home,Atlanta,GA
17,03,27,08,40,pour over,home,Atlanta,GA
17,03,27,13,07,espresso,work,Atlanta,GA
17,03,28,07,51,pour over,home,Atlanta,GA
17,03,28,08,01,pour over,home,Atlanta,GA
17,03,30,10,31,aeropress,work,Atlanta,GA
17,03,30,12,47,drip,work,Atlanta,GA
17,03,31,09,01,espresso,work,Atlanta,GA
17,03,31,13,17,espresso,work,Atlanta,GA
17,04,02,12,47,mocha,Hodgepodge,Atlanta,GA
17,04,03,08,50,espresso,work,Atlanta,GA
17,04,03,09,15,drip,work,Atlanta,GA
17,04,03,14,02,drip,work,Atlanta,GA
17,04,03,14,50,drip,work,Atlanta,GA
17,04,04,12,08,espresso,work,Atlanta,GA
17,04,05,09,06,espresso,work,Atlanta,GA
17,04,06,08,54,aeropress,work,Atlanta,GA
17,04,06,12,25,drip,work,Atlanta,GA
17,04,06,13,37,drip,work,Atlanta,GA
17,04,07,08,11,drip,Starbucks,Atlanta,GA
17,04,07,12,55,drip,work,Atlanta,GA
